k,time,Sk
1,0,1
2,0.00033,0.99969
3,0.0165,0.99287
4,0.02574,0.98974
5,0.0551,0.98093
6,0.06269,0.97131
7,0.06665,0.96623
8,0.07259,0.9596
9,0.07523,0.95094
10,0.07721,0.94598
11,0.08314,0.93392
12,0.08446,0.93155
13,0.08743,0.92289
14,0.09634,0.91535
15,0.09898,0.91471
16,0.10096,0.91425
17,0.10855,0.91263
18,0.11581,0.91117
19,0.12769,0.90886
20,0.14517,0.90547
21,0.16233,0.90173
22,0.16596,0.90071
23,0.16893,0.89404
24,0.17454,0.88611
25,0.17586,0.88522
26,0.19202,0.87496
27,0.20258,0.86662
28,0.20588,0.86519
29,0.21809,0.85845
30,0.21941,0.85014
31,0.22568,0.84722
32,0.25405,0.84252
33,0.26395,0.84117
34,0.28408,0.83802
35,0.292,0.83649
36,0.3174,0.82973
37,0.3438,0.81837
38,0.35337,0.80859
39,0.3537,0.80843
40,0.38108,0.79929
41,0.3824,0.79882
42,0.38438,0.79806
43,0.40253,0.78904
44,0.42133,0.78022
45,0.42166,0.77989
46,0.43354,0.7714
47,0.48798,0.76136
48,0.48897,0.76115
49,0.49359,0.76009
50,0.5091,0.75431
51,0.51339,0.75169
52,0.52427,0.74239
53,0.52922,0.73325
54,0.57607,0.72605
55,0.58927,0.72395
56,0.59257,0.72332
57,0.61303,0.71322
58,0.61402,0.71237
59,0.62062,0.70837
60,0.63183,0.7036
61,0.64404,0.69478
62,0.65196,0.68597
63,0.65559,0.68561
64,0.68133,0.68357
65,0.71861,0.68113
66,0.75754,0.67869
67,0.80208,0.6754
68,0.82353,0.66658
69,0.83541,0.6635
70,0.84168,0.66229
71,0.85685,0.65958
72,0.86114,0.65881
73,0.87335,0.65642
74,0.8783,0.6552
75,0.88754,0.64639
76,0.9169,0.64013
77,0.93043,0.63733
78,0.93142,0.63709
79,0.96474,0.62903
80,0.98817,0.62634
81,0.98982,0.62619
82,1.03271,0.62335
83,1.12707,0.61739
84,1.13268,0.61666
85,1.14489,0.60713
86,1.15578,0.60432
87,1.2089,0.59703
88,1.26829,0.58726
89,1.3257,0.57652
90,1.33197,0.57505
91,1.34945,0.56969
92,1.35704,0.56562
93,1.3742,0.55504
94,1.37684,0.55447
95,1.68533,0.54529
96,1.76254,0.54417
97,1.78266,0.5439
98,1.83644,0.54318
99,1.90012,0.54237
100,1.94697,0.54179
101,3.43236,0.52589
102,3.49868,0.52521
