"time"	"n.risk"	"n.event"	"n.censored"
0	103	0	0
0	103	1	0
0.004087193	102	0	0
0.061307902	102	0	0
0.065395095	102	1	0
0.069482289	101	0	0
0.073569482	101	0	0
0.077656676	101	0	0
0.081743869	101	1	1
0.10626703	99	0	0
0.110354223	99	0	0
0.114441417	99	0	0
0.11852861	99	0	0
0.11852861	99	0	0
0.122615804	99	0	0
0.122615804	99	0	0
0.126702997	99	1	0
0.126702997	98	0	0
0.130790191	98	0	0
0.155313351	98	0	0
0.159400545	98	1	0
0.167574932	97	0	0
0.171662125	97	0	0
0.183923706	97	0	0
0.188010899	97	1	1
0.216621253	95	0	0
0.220708447	95	0	0
0.220708447	95	0	0
0.22479564	95	0	0
0.232970027	95	0	0
0.237057221	95	1	0
0.273841962	94	0	0
0.277929155	94	0	0
0.277929155	94	0	0
0.282016349	94	1	0
0.282016349	93	0	0
0.286103542	93	1	1
0.302452316	91	0	0
0.30653951	91	0	0
0.30653951	91	0	0
0.310626703	91	1	1
0.41280654	89	0	0
0.416893733	89	0	0
0.441416894	89	0	0
0.445504087	89	1	0
0.457765668	88	0	0
0.461852861	88	0	0
0.461852861	88	0	0
0.465940054	88	1	0
0.478201635	87	0	0
0.482288828	87	0	0
0.482288828	87	0	0
0.486376022	87	0	0
0.486376022	87	0	0
0.490463215	87	1	0
0.490463215	86	0	0
0.494550409	86	0	0
0.502724796	86	0	0
0.506811989	86	1	0
0.514986376	85	0	0
0.519073569	85	2	0
0.580381471	83	0	0
0.584468665	83	0	0
0.588555858	83	0	0
0.592643052	83	0	0
0.592643052	83	0	0
0.596730245	83	1	0
0.604904632	82	0	0
0.608991826	82	1	0
0.608991826	81	0	0
0.613079019	81	0	0
0.617166213	81	0	0
0.621253406	81	1	0
0.621253406	80	0	0
0.625340599	80	2	0
0.63760218	78	0	0
0.641689373	78	0	0
0.645776567	78	0	0
0.64986376	78	1	0
0.64986376	77	0	0
0.653950954	77	0	0
0.666212534	77	0	0
0.670299728	77	1	0
0.707084469	76	0	0
0.711171662	76	1	0
0.719346049	75	0	0
0.723433243	75	0	1
0.75613079	74	0	0
0.760217984	74	2	0
0.813351499	72	0	0
0.817438692	72	1	0
0.85013624	71	0	0
0.854223433	71	1	0
0.870572207	70	0	0
0.874659401	70	0	0
0.891008174	70	0	0
0.895095368	70	1	0
0.944141689	69	0	0
0.948228883	69	0	0
0.95640327	69	0	0
0.960490463	69	1	0
1.001362398	68	0	0
1.005449591	68	0	0
1.013623978	68	0	0
1.017711172	68	0	0
1.017711172	68	0	0
1.021798365	68	0	0
1.029972752	68	0	0
1.034059946	68	0	0
1.034059946	68	0	0
1.038147139	68	1	0
1.070844687	67	0	0
1.07493188	67	0	0
1.07493188	67	0	0
1.079019074	67	1	1
1.095367847	65	0	0
1.099455041	65	0	0
1.123978202	65	0	0
1.128065395	65	1	0
1.128065395	64	0	0
1.132152589	64	0	0
1.140326975	64	0	0
1.144414169	64	0	0
1.144414169	64	0	0
1.148501362	64	1	0
1.148501362	63	0	0
1.152588556	63	0	1
1.209809264	62	0	0
1.213896458	62	1	0
1.213896458	61	0	0
1.217983651	61	0	0
1.217983651	61	0	0
1.222070845	61	0	1
1.29972752	60	0	0
1.303814714	60	1	1
1.414168937	58	0	0
1.418256131	58	0	1
1.463215259	57	0	0
1.467302452	57	1	0
1.549046322	56	0	0
1.553133515	56	0	1
1.614441417	55	0	1
1.61852861	54	0	1
1.679836512	53	0	1
1.683923706	52	1	0
1.688010899	51	0	0
1.692098093	51	0	1
1.728882834	50	0	0
1.732970027	50	0	1
1.757493188	49	0	0
1.761580381	49	1	2
1.822888283	46	0	0
1.826975477	46	0	0
1.826975477	46	0	0
1.83106267	46	0	0
1.839237057	46	0	0
1.843324251	46	0	2
1.908719346	44	0	1
1.91280654	43	0	1
1.949591281	42	0	0
1.953678474	42	1	1
2.010899183	40	0	0
2.014986376	40	0	0
2.014986376	40	0	0
2.019073569	40	1	10
3.061307902	29	0	0
3.065395095	29	0	0
3.065395095	29	0	0
3.069482289	29	0	0
3.073569482	29	0	0
3.077656676	29	0	1
3.138964578	28	0	1
3.143051771	27	0	0
3.143051771	27	0	0
3.147138965	27	1	0
3.147138965	26	0	0
3.151226158	26	0	7
3.457765668	19	0	0
3.461852861	19	1	0
3.461852861	18	0	0
3.465940054	18	0	0
3.465940054	18	0	1
3.470027248	17	0	0
3.470027248	17	0	0
3.474114441	17	0	0
3.506811989	17	0	0
