"time"	"n.risk"	"n.event"	"n.censored"
0	103	0	0
0.00033	103	0	0
0.0165	103	1	0
0.02574	102	0	0
0.0551	102	1	0
0.06269	101	0	0
0.06665	101	0	0
0.07259	101	0	0
0.07523	101	0	0
0.07721	101	1	0
0.08314	100	1	0
0.08446	99	0	0
0.08743	99	1	0
0.09634	98	1	0
0.09898	97	0	0
0.10096	97	2	0
0.10855	95	2	0
0.11581	93	1	1
0.12769	91	2	0
0.14517	89	1	0
0.16233	88	1	0
0.16596	87	0	0
0.16893	87	1	0
0.17454	86	0	0
0.17586	86	0	0
0.19202	86	1	0
0.20258	85	0	0
0.20588	85	0	0
0.21809	85	1	0
0.21941	84	0	0
0.22568	84	1	0
0.25405	83	0	1
0.26395	82	2	0
0.28408	80	1	0
0.292	79	0	0
0.3174	79	1	0
0.3438	78	1	0
0.35337	77	0	0
0.3537	77	0	0
0.38108	77	1	1
0.3824	75	1	0
0.38438	74	0	0
0.40253	74	1	0
0.42133	73	0	0
0.42166	73	0	0
0.43354	73	1	0
0.48798	72	0	0
0.48897	72	0	0
0.49359	72	2	0
0.5091	70	0	0
0.51339	70	0	0
0.52427	70	1	0
0.52922	69	0	0
0.57607	69	0	0
0.58927	69	1	0
0.59257	68	1	0
0.61303	67	0	0
0.61402	67	0	0
0.62062	67	2	0
0.63183	65	0	0
0.64404	65	0	0
0.65196	65	0	0
0.65559	65	0	0
0.68133	65	1	0
0.71861	64	1	0
0.75754	63	1	0
0.80208	62	1	0
0.82353	61	0	0
0.83541	61	0	0
0.84168	61	2	0
0.85685	59	1	0
0.86114	58	2	0
0.87335	56	0	0
0.8783	56	1	0
0.88754	55	0	0
0.9169	55	0	0
0.93043	55	2	0
0.93142	53	0	0
0.96474	53	0	0
0.98817	53	1	0
0.98982	52	1	0
1.03271	51	0	0
1.12707	51	1	0
1.13268	50	0	1
1.14489	49	1	0
1.15578	48	0	0
1.2089	48	1	1
1.26829	46	0	0
1.3257	46	0	0
1.33197	46	0	0
1.34945	46	2	0
1.35704	44	1	1
1.3742	42	0	0
1.37684	42	0	2
1.68533	40	1	1
1.76254	38	0	0
1.78266	38	1	1
1.83644	36	1	0
1.90012	35	1	1
1.94697	33	1	20
3.43236	12	0	1
3.49868	11	0	0
