"time"	"n.risk"	"n.event"	"n.censored"
0	105	0	0
0	105	0	0
0.004087193	105	1	0
0.016348774	104	0	0
0.020435967	104	0	0
0.020435967	104	0	0
0.024523161	104	0	0
0.032697548	104	0	0
0.036784741	104	0	0
0.040871935	104	0	0
0.044959128	104	1	0
0.335149864	103	0	0
0.339237057	103	2	0
0.347411444	101	0	0
0.351498638	101	0	0
0.359673025	101	0	0
0.363760218	101	1	0
0.371934605	100	0	0
0.376021798	100	1	0
0.380108992	99	0	0
0.384196185	99	0	0
0.388283379	99	0	0
0.392370572	99	0	0
0.396457766	99	0	0
0.400544959	99	1	0
0.400544959	98	0	0
0.404632153	98	1	0
0.408719346	97	0	0
0.41280654	97	0	0
0.416893733	97	0	0
0.420980926	97	1	0
0.420980926	96	0	0
0.42506812	96	0	0
0.42506812	96	0	0
0.429155313	96	1	0
0.429155313	95	0	0
0.433242507	95	2	0
0.433242507	93	0	0
0.4373297	93	0	0
0.4373297	93	0	0
0.441416894	93	1	0
0.441416894	92	0	0
0.445504087	92	0	0
0.445504087	92	0	0
0.449591281	92	1	0
0.453678474	91	0	0
0.457765668	91	1	0
0.506811989	90	0	0
0.510899183	90	0	0
0.510899183	90	0	0
0.514986376	90	0	0
0.514986376	90	0	0
0.519073569	90	1	0
0.604904632	89	0	0
0.608991826	89	0	0
0.608991826	89	0	0
0.613079019	89	1	0
0.63760218	88	0	0
0.641689373	88	0	0
0.641689373	88	0	0
0.645776567	88	0	0
0.645776567	88	0	0
0.64986376	88	0	0
0.658038147	88	0	0
0.662125341	88	1	0
0.678474114	87	0	0
0.682561308	87	0	0
0.682561308	87	0	0
0.686648501	87	0	0
0.686648501	87	0	0
0.690735695	87	1	1
0.694822888	85	0	0
0.698910082	85	0	0
0.698910082	85	0	0
0.702997275	85	0	0
0.707084469	85	0	0
0.711171662	85	1	0
0.715258856	84	0	0
0.719346049	84	0	0
0.772479564	84	0	0
0.776566757	84	0	0
0.780653951	84	0	0
0.784741144	84	0	0
0.825613079	84	0	0
0.829700272	84	1	0
0.837874659	83	0	0
0.841961853	83	0	0
0.85013624	83	0	0
0.854223433	83	1	0
0.874659401	82	0	1
0.878746594	81	1	0
0.878746594	80	0	0
0.882833787	80	0	0
0.903269755	80	0	0
0.907356948	80	0	0
0.911444142	80	0	0
0.915531335	80	0	0
0.923705722	80	0	0
0.927792916	80	1	0
0.935967302	79	0	0
0.940054496	79	1	1
1.250681199	77	0	0
1.254768392	77	0	0
1.254768392	77	0	0
1.258855586	77	1	0
1.271117166	76	0	0
1.27520436	76	0	0
1.27520436	76	0	0
1.279291553	76	0	0
1.279291553	76	0	0
1.283378747	76	1	0
1.283378747	75	0	0
1.28746594	75	0	1
1.373297003	74	0	0
1.377384196	74	1	1
1.397820163	72	0	0
1.401907357	72	0	5
1.80653951	67	0	0
1.810626703	67	0	0
1.814713896	67	0	0
1.81880109	67	1	0
1.81880109	66	0	0
1.822888283	66	0	1
1.916893733	65	0	0
1.920980926	65	0	0
1.929155313	65	0	0
1.933242507	65	1	8
2.652588556	56	0	9
2.656675749	47	0	0
2.656675749	47	0	0
2.660762943	47	0	0
2.660762943	47	0	0
2.664850136	47	1	0
2.66893733	46	0	0
2.673024523	46	0	0
2.673024523	46	0	0
2.677111717	46	0	3
2.840599455	43	0	0
2.844686649	43	0	0
2.848773842	43	0	0
2.852861035	43	1	0
2.852861035	42	0	0
2.856948229	42	0	0
2.873297003	42	0	0
2.877384196	42	0	0
2.88147139	42	0	0
2.885558583	42	0	0
3.506811989	32	0	0
