"time"	"n.risk"	"n.event"	"n.censored"
0	105	0	0
0.00033	105	0	0
0.0165	105	1	0
0.02574	104	0	0
0.0551	104	1	0
0.06269	103	1	0
0.06665	102	1	0
0.07259	101	0	0
0.07523	101	1	0
0.07721	100	1	0
0.08314	99	1	0
0.08446	98	0	0
0.08743	98	1	0
0.09634	97	1	0
0.09898	96	0	0
0.10096	96	0	0
0.10855	96	0	0
0.11581	96	0	0
0.12769	96	1	0
0.14517	95	0	0
0.16233	95	0	0
0.16596	95	0	0
0.16893	95	1	0
0.17454	94	1	0
0.17586	93	0	0
0.19202	93	1	0
0.20258	92	1	0
0.20588	91	0	0
0.21809	91	1	0
0.21941	90	1	0
0.22568	89	0	0
0.25405	89	1	0
0.26395	88	0	0
0.28408	88	0	0
0.292	88	0	0
0.3174	88	1	0
0.3438	87	1	0
0.35337	86	1	0
0.3537	85	0	0
0.38108	85	1	0
0.3824	84	0	0
0.38438	84	0	0
0.40253	84	1	0
0.42133	83	1	0
0.42166	82	0	0
0.43354	82	1	0
0.48798	81	1	0
0.48897	80	0	0
0.49359	80	0	0
0.5091	80	1	0
0.51339	79	0	0
0.52427	79	1	0
0.52922	78	1	0
0.57607	77	1	0
0.58927	76	0	0
0.59257	76	0	0
0.61303	76	1	0
0.61402	75	0	0
0.62062	75	1	0
0.63183	74	0	0
0.64404	74	1	0
0.65196	73	1	0
0.65559	72	0	0
0.68133	72	0	1
0.71861	71	0	0
0.75754	71	1	0
0.80208	70	0	0
0.82353	70	1	0
0.83541	69	0	0
0.84168	69	0	0
0.85685	69	1	1
0.86114	67	0	0
0.87335	67	0	0
0.8783	67	0	0
0.88754	67	1	0
0.9169	66	1	0
0.93043	65	0	0
0.93142	65	0	0
0.96474	65	1	0
0.98817	64	0	0
0.98982	64	0	0
1.03271	64	0	0
1.12707	64	1	0
1.13268	63	0	1
1.14489	62	1	0
1.15578	61	0	0
1.2089	61	1	1
1.26829	59	1	0
1.3257	58	1	0
1.33197	57	0	0
1.34945	57	1	0
1.35704	56	0	1
1.3742	55	1	0
1.37684	54	0	2
1.68533	52	1	1
1.76254	50	0	0
1.78266	50	0	1
1.83644	49	0	1
1.90012	48	0	1
1.94697	47	0	0
2.01	47	2	20
3.49868	25	0	0
3.49868	25	0	0
