k	time	Sk
1	0	0.992079208
2	0	0.992079208
3	0.004087193	0.99009901
4	0.061307902	0.99009901
5	0.065395095	0.982178218
6	0.069482289	0.982178218
7	0.073569482	0.976237624
8	0.077656676	0.976237624
9	0.081743869	0.974257426
10	0.10626703	0.974257426
11	0.110354223	0.972277228
12	0.114441417	0.972277228
13	0.11852861	0.97029703
14	0.11852861	0.97029703
15	0.122615804	0.966336634
16	0.122615804	0.966336634
17	0.126702997	0.96039604
18	0.126702997	0.96039604
19	0.130790191	0.958415842
20	0.155313351	0.958415842
21	0.159400545	0.954455446
22	0.167574932	0.954455446
23	0.171662125	0.95049505
24	0.183923706	0.95049505
25	0.188010899	0.944554455
26	0.216621253	0.944554455
27	0.220708447	0.940594059
28	0.220708447	0.940594059
29	0.22479564	0.938613861
30	0.232970027	0.938613861
31	0.237057221	0.934653465
32	0.273841962	0.934653465
33	0.277929155	0.932673267
34	0.277929155	0.932673267
35	0.282016349	0.916831683
36	0.282016349	0.916831683
37	0.286103542	0.914851485
38	0.302452316	0.914851485
39	0.30653951	0.912871287
40	0.30653951	0.912871287
41	0.310626703	0.904950495
42	0.41280654	0.904950495
43	0.416893733	0.900990099
44	0.441416894	0.900990099
45	0.445504087	0.895049505
46	0.457765668	0.895049505
47	0.461852861	0.887128713
48	0.461852861	0.887128713
49	0.465940054	0.885148515
50	0.478201635	0.885148515
51	0.482288828	0.883168317
52	0.482288828	0.883168317
53	0.486376022	0.879207921
54	0.486376022	0.879207921
55	0.490463215	0.871287129
56	0.490463215	0.871287129
57	0.494550409	0.869306931
58	0.502724796	0.869306931
59	0.506811989	0.865346535
60	0.514986376	0.865346535
61	0.519073569	0.843564356
62	0.580381471	0.843564356
63	0.584468665	0.83960396
64	0.588555858	0.83960396
65	0.592643052	0.837623762
66	0.592643052	0.837623762
67	0.596730245	0.82970297
68	0.604904632	0.82970297
69	0.608991826	0.823762376
70	0.608991826	0.823762376
71	0.613079019	0.81980198
72	0.617166213	0.81980198
73	0.621253406	0.807920792
74	0.621253406	0.807920792
75	0.625340599	0.788118812
76	0.63760218	0.788118812
77	0.641689373	0.786138614
78	0.645776567	0.786138614
79	0.64986376	0.784158416
80	0.64986376	0.784158416
81	0.653950954	0.778217822
82	0.666212534	0.778217822
83	0.670299728	0.772277228
84	0.707084469	0.772277228
85	0.711171662	0.764356436
86	0.719346049	0.764356436
87	0.723433243	0.756435644
88	0.75613079	0.756435644
89	0.760217984	0.738613861
90	0.813351499	0.738613861
91	0.817438692	0.732673267
92	0.85013624	0.732673267
93	0.854223433	0.722772277
94	0.870572207	0.722772277
95	0.874659401	0.718811881
96	0.891008174	0.718811881
97	0.895095368	0.708910891
98	0.944141689	0.708910891
99	0.948228883	0.706930693
100	0.95640327	0.706930693
101	0.960490463	0.702970297
102	1.001362398	0.702970297
103	1.005449591	0.700990099
104	1.013623978	0.700990099
105	1.017711172	0.699009901
106	1.017711172	0.699009901
107	1.021798365	0.697029703
108	1.029972752	0.697029703
109	1.034059946	0.695049505
110	1.034059946	0.695049505
111	1.038147139	0.687128713
112	1.070844687	0.687128713
113	1.07493188	0.683168317
114	1.07493188	0.683168317
115	1.079019074	0.681188119
116	1.095367847	0.681188119
117	1.099455041	0.673267327
118	1.123978202	0.673267327
119	1.128065395	0.671287129
120	1.128065395	0.671287129
121	1.132152589	0.669306931
122	1.140326975	0.669306931
123	1.144414169	0.667326733
124	1.144414169	0.667326733
125	1.148501362	0.657425743
126	1.148501362	0.657425743
127	1.152588556	0.655445545
128	1.209809264	0.655445545
129	1.213896458	0.651485149
130	1.213896458	0.651485149
131	1.217983651	0.647524752
132	1.217983651	0.647524752
133	1.222070845	0.641584158
134	1.29972752	0.641584158
135	1.303814714	0.63960396
136	1.414168937	0.63960396
137	1.418256131	0.635643564
138	1.463215259	0.635643564
139	1.467302452	0.62970297
140	1.549046322	0.62970297
141	1.553133515	0.623762376
142	1.614441417	0.623762376
143	1.61852861	0.61980198
144	1.679836512	0.61980198
145	1.683923706	0.617821782
146	1.688010899	0.617821782
147	1.692098093	0.60990099
148	1.728882834	0.60990099
149	1.732970027	0.607920792
150	1.757493188	0.607920792
151	1.761580381	0.605940594
152	1.822888283	0.605940594
153	1.826975477	0.603960396
154	1.826975477	0.603960396
155	1.83106267	0.598019802
156	1.839237057	0.598019802
157	1.843324251	0.596039604
158	1.908719346	0.596039604
159	1.91280654	0.594059406
160	1.949591281	0.594059406
161	1.953678474	0.584158416
162	2.010899183	0.584158416
163	2.014986376	0.58019802
164	2.014986376	0.58019802
165	2.019073569	0.578217822
166	3.061307902	0.578217822
167	3.065395095	0.574257426
168	3.065395095	0.574257426
169	3.069482289	0.572277228
170	3.073569482	0.572277228
171	3.077656676	0.562376238
172	3.138964578	0.562376238
173	3.143051771	0.56039604
174	3.143051771	0.56039604
175	3.147138965	0.558415842
176	3.147138965	0.558415842
177	3.151226158	0.556435644
178	3.457765668	0.556435644
179	3.461852861	0.532673267
180	3.461852861	0.532673267
181	3.465940054	0.530693069
182	3.465940054	0.530693069
183	3.470027248	0.528712871
184	3.470027248	0.528712871
185	3.474114441	0.526732673
186	3.506811989	0.526732673
