k	time	Sk
1	0	1
2	0	1
3	0.004087193	0.994059406
4	0.016348774	0.994059406
5	0.020435967	0.992079208
6	0.020435967	0.992079208
7	0.024523161	0.99009901
8	0.032697548	0.99009901
9	0.036784741	0.986138614
10	0.040871935	0.986138614
11	0.044959128	0.984158416
12	0.335149864	0.984158416
13	0.339237057	0.966336634
14	0.347411444	0.966336634
15	0.351498638	0.96039604
16	0.359673025	0.96039604
17	0.363760218	0.948514851
18	0.371934605	0.948514851
19	0.376021798	0.944554455
20	0.380108992	0.944554455
21	0.384196185	0.940594059
22	0.388283379	0.940594059
23	0.392370572	0.938613861
24	0.396457766	0.938613861
25	0.400544959	0.928712871
26	0.400544959	0.928712871
27	0.404632153	0.924752475
28	0.408719346	0.924752475
29	0.41280654	0.922772277
30	0.416893733	0.922772277
31	0.420980926	0.912871287
32	0.420980926	0.912871287
33	0.42506812	0.910891089
34	0.42506812	0.910891089
35	0.429155313	0.904950495
36	0.429155313	0.904950495
37	0.433242507	0.887128713
38	0.433242507	0.887128713
39	0.4373297	0.885148515
40	0.4373297	0.885148515
41	0.441416894	0.875247525
42	0.441416894	0.875247525
43	0.445504087	0.873267327
44	0.445504087	0.873267327
45	0.449591281	0.871287129
46	0.453678474	0.871287129
47	0.457765668	0.861386139
48	0.506811989	0.861386139
49	0.510899183	0.857425743
50	0.510899183	0.857425743
51	0.514986376	0.855445545
52	0.514986376	0.855445545
53	0.519073569	0.851485149
54	0.604904632	0.851485149
55	0.608991826	0.845544554
56	0.608991826	0.845544554
57	0.613079019	0.841584158
58	0.63760218	0.841584158
59	0.641689373	0.83960396
60	0.641689373	0.83960396
61	0.645776567	0.837623762
62	0.645776567	0.837623762
63	0.64986376	0.835643564
64	0.658038147	0.835643564
65	0.662125341	0.831683168
66	0.678474114	0.831683168
67	0.682561308	0.82970297
68	0.682561308	0.82970297
69	0.686648501	0.825742574
70	0.686648501	0.825742574
71	0.690735695	0.81980198
72	0.694822888	0.81980198
73	0.698910082	0.817821782
74	0.698910082	0.817821782
75	0.702997275	0.815841584
76	0.707084469	0.815841584
77	0.711171662	0.813861386
78	0.715258856	0.813861386
79	0.719346049	0.811881188
80	0.772479564	0.811881188
81	0.776566757	0.807920792
82	0.780653951	0.807920792
83	0.784741144	0.805940594
84	0.825613079	0.805940594
85	0.829700272	0.801980198
86	0.837874659	0.801980198
87	0.841961853	0.796039604
88	0.85013624	0.796039604
89	0.854223433	0.794059406
90	0.874659401	0.794059406
91	0.878746594	0.784158416
92	0.878746594	0.784158416
93	0.882833787	0.782178218
94	0.903269755	0.782178218
95	0.907356948	0.778217822
96	0.911444142	0.778217822
97	0.915531335	0.776237624
98	0.923705722	0.776237624
99	0.927792916	0.768316832
100	0.935967302	0.768316832
101	0.940054496	0.764356436
102	1.250681199	0.764356436
103	1.254768392	0.756435644
104	1.254768392	0.756435644
105	1.258855586	0.754455446
106	1.271117166	0.754455446
107	1.27520436	0.748514851
108	1.27520436	0.748514851
109	1.279291553	0.746534653
110	1.279291553	0.746534653
111	1.283378747	0.744554455
112	1.283378747	0.744554455
113	1.28746594	0.742574257
114	1.373297003	0.742574257
115	1.377384196	0.734653465
116	1.397820163	0.734653465
117	1.401907357	0.732673267
118	1.80653951	0.732673267
119	1.810626703	0.730693069
120	1.814713896	0.730693069
121	1.81880109	0.724752475
122	1.81880109	0.724752475
123	1.822888283	0.720792079
124	1.916893733	0.720792079
125	1.920980926	0.714851485
126	1.929155313	0.714851485
127	1.933242507	0.708910891
128	2.652588556	0.708910891
129	2.656675749	0.704950495
130	2.656675749	0.704950495
131	2.660762943	0.702970297
132	2.660762943	0.702970297
133	2.664850136	0.697029703
134	2.66893733	0.697029703
135	2.673024523	0.695049505
136	2.673024523	0.695049505
137	2.677111717	0.691089109
138	2.840599455	0.691089109
139	2.844686649	0.689108911
140	2.848773842	0.689108911
141	2.852861035	0.685148515
142	2.852861035	0.685148515
143	2.856948229	0.681188119
144	2.873297003	0.681188119
145	2.877384196	0.679207921
146	2.88147139	0.679207921
147	2.885558583	0.675247525
148	3.506811989	0.675247525
