k	time	Sk
1	0	1
2	0.00033	1
3	0.0165	0.98846
4	0.02574	0.98665
5	0.0551	0.9823
6	0.06269	0.9809
7	0.06665	0.97996
8	0.07259	0.97777
9	0.07523	0.97595
10	0.07721	0.9689
11	0.08314	0.95816
12	0.08446	0.95689
13	0.08743	0.95414
14	0.09634	0.94515
15	0.09898	0.94133
16	0.10096	0.92337
17	0.10855	0.90044
18	0.11581	0.88986
19	0.12769	0.87046
20	0.14517	0.86052
21	0.16233	0.85349
22	0.16596	0.85091
23	0.16893	0.84549
24	0.17454	0.84064
25	0.17586	0.84016
26	0.19202	0.83622
27	0.20258	0.83337
28	0.20588	0.83199
29	0.21809	0.82021
30	0.21941	0.81964
31	0.22568	0.81796
32	0.25405	0.81083
33	0.26395	0.79111
34	0.28408	0.78261
35	0.292	0.78009
36	0.3174	0.77107
37	0.3438	0.76351
38	0.35337	0.76106
39	0.3537	0.76098
40	0.38108	0.75136
41	0.3824	0.74948
42	0.38438	0.74062
43	0.40253	0.7344
44	0.42133	0.73121
45	0.42166	0.73116
46	0.43354	0.72952
47	0.48798	0.72074
48	0.48897	0.72044
49	0.49359	0.70936
50	0.5091	0.70167
51	0.51339	0.70101
52	0.52427	0.69948
53	0.52922	0.6988
54	0.57607	0.69109
55	0.58927	0.67971
56	0.59257	0.67798
57	0.61303	0.67058
58	0.61402	0.66993
59	0.62062	0.65839
60	0.63183	0.65562
61	0.64404	0.65371
62	0.65196	0.65223
63	0.65559	0.65133
64	0.68133	0.63947
65	0.71861	0.63034
66	0.75754	0.6204
67	0.80208	0.61532
68	0.82353	0.61259
69	0.83541	0.61031
70	0.84168	0.59764
71	0.85685	0.58706
72	0.86114	0.5683
73	0.87335	0.55964
74	0.8783	0.55854
75	0.88754	0.55655
76	0.9169	0.54891
77	0.93043	0.53832
78	0.93142	0.53789
79	0.96474	0.52919
80	0.98817	0.51877
81	0.98982	0.51791
82	1.03271	0.50883
83	1.12707	0.49951
84	1.13268	0.49842
85	1.14489	0.48956
86	1.15578	0.48832
87	1.2089	0.48519
88	1.26829	0.48239
89	1.3257	0.47894
90	1.33197	0.4784
91	1.34945	0.46509
92	1.35704	0.45593
93	1.3742	0.45482
94	1.37684	0.45467
95	1.68533	0.44187
96	1.76254	0.43591
97	1.78266	0.43034
98	1.83644	0.41848
99	1.90012	0.4055
100	1.94697	0.39171
101	3.43236	0.39111
102	3.49868	0.39121
