"k" "Time" "Sk"
1 0.0550411 0.998673
2 0.467783 0.988034
3 0.468272 0.973368
4 0.498084 0.962703
5 0.704989 0.941384
6 0.911939 0.918731
7 1.05984 0.900075
8 1.14861 0.888081
9 1.17838 0.878749
10 1.26741 0.858755
11 1.29727 0.846757
12 1.44531 0.824101
13 1.44553 0.817434
14 1.56353 0.812109
15 1.56442 0.785442
16 1.56527 0.760109
17 1.65444 0.736115
18 1.92083 0.697466
19 2.21575 0.68682
20 2.68754 0.672185
21 2.89444 0.650866
22 3.07167 0.636211
23 3.63147 0.63225
24 3.98494 0.632274
25 4.22161 0.601623
26 4.36938 0.586967
27 4.75276 0.57366
28 5.07709 0.564348
29 5.4901 0.54571
30 5.75542 0.539061
31 5.87369 0.525736
32 5.99179 0.517744
33 6.16852 0.517756
34 6.28644 0.515098
35 6.49263 0.515112
36 6.58122 0.508451
37 6.75796 0.508463
38 6.84668 0.497803
39 6.99405 0.495146
40 7.08246 0.493819
41 7.20042 0.489827
42 7.37729 0.485839
43 8.31989 0.485903
44 8.43811 0.473911
45 8.58548 0.471255
46 8.76257 0.4606
47 9.41061 0.460644
48 9.88258 0.440677
49 10.1185 0.43136
50 11.0022 0.43142
51 11.1792 0.424765
52 12.0924 0.423494
53 12.3578 0.414179
54 12.7996 0.414209
55 13.2709 0.414242
56 13.3005 0.411577
57 13.919 0.411619
58 13.9195 0.398286
59 14.0668 0.398296
60 14.1556 0.384969
61 14.7742 0.385011
62 14.7743 0.382344
63 15.8641 0.383752
64 15.8643 0.377086
65 16.748 0.375813
66 16.8071 0.371817
67 18.0148 0.371899
68 18.015 0.365233
69 18.1623 0.365243
70 18.1625 0.359909
71 19.0756 0.358638
72 19.1053 0.353307
73 19.5177 0.353335
74 19.4885 0.344
75 19.5474 0.344004
76 19.5477 0.336004
77 19.9895 0.338701
78 20.0485 0.333372
79 20.078 0.333374
80 20.1079 0.321376
81 22.0814 0.322844
82 22.3469 0.309529
83 23.466 0.316272
84 24.6737 0.316354
85 26.0287 0.316447
86 26.029 0.307114
87 27.0894 0.307186
88 27.2074 0.303194
89 27.5021 0.299214
90 27.7968 0.295235
91 28.3565 0.295273
92 30.3301 0.292741
93 30.507 0.28742
94 30.8019 0.278107
95 31.5087 0.282155
96 32.2451 0.282205
97 32.8049 0.278244
98 33.041 0.26626
99 33.4242 0.258286
100 33.6306 0.2503
101 33.6308 0.243633
102 34.7502 0.24371
103 35.2509 0.243744
104 36.0168 0.243797
105 36.7827 0.242516
106 37.1951 0.24121
107 39.0214 0.241335
